"description","biddable","startprice","condition","cellular","carrier","color","storage","productline","sold","UniqueID",".src"
"A device listed in near mint used cosmetic condition with light blemishes from use. Housing &amp; ",0,171,"Used","1","Verizon","White","16","iPad 2",0,10776,"Train"
"A device listed in Average/Fair  condition with some scratches, scuffs on the housing &amp; screen (do ",0,76,"Used","0","None","White","16","Unknown",0,10777,"Train"
"VERY special auction for an open box Space Gray iPad Air 2 16gb Cellular. Device is covered under ",1,10,"New other (see details)","1","Sprint","Space Gray","16","iPad Air 2",1,10778,"Train"
"",1,50,"Used","0","None","Black","32","iPad 1",1,10779,"Train"
"",1,129,"Used","0","None","White","64","iPad 3",1,10780,"Train"
"This iPad is in very good condition. Includes charger. Slight scratches on back and small bend near ",1,0.01,"Used","0","None","Unknown","32","iPad 2",1,10781,"Train"
"",1,1,"Manufacturer refurbished","0","None","White","16","iPad 2",1,10782,"Train"
"",0,350,"New","0","None","Unknown","16","iPad mini 3",0,10783,"Train"
"",1,50,"New","0","None","White","64","iPad Air 2",1,10784,"Train"
"",1,164,"Used","0","None","Black","32","iPad 2",0,10785,"Train"
"",1,249.95,"Used","0","None","Unknown","16","iPad mini",0,10786,"Train"
"",0,339,"New","Unknown","Unknown","Space Gray","Unknown","Unknown",0,10787,"Train"
"",0,200,"Used","0","None","Unknown","32","iPad 3",0,10788,"Train"
"",0,160,"Used","0","None","Unknown","16","iPad mini",0,10789,"Train"
"In mint condition with all accessories.",1,50,"Used","0","None","Black","32","iPad 4",1,10790,"Train"
"",1,395,"New","1","Unknown","White","64","iPad 3",0,10791,"Train"
"",1,550,"Used","0","None","Gold","128","iPad Air 2",1,10792,"Train"
"",1,800,"New","1","Unknown","Gold","128","iPad Air 2",0,10793,"Train"
"Excellent Used Condition. Please see all photos and description.",1,525,"Used","0","None","White","128","iPad Air 2",1,10794,"Train"
"No original packaging for keyboard",1,175,"Used","1","T-Mobile","White","16","iPad mini 2",1,10795,"Train"
"",1,199.99,"Used","Unknown","Unknown","Unknown","16","iPad Air",1,10796,"Train"
"",1,349.99,"New","1","Unknown","Space Gray","32","iPad Air",1,10797,"Train"
"",1,50,"Used","0","None","Black","64","iPad 1",1,10798,"Train"
"This item is in Great cosmetic condition. It may have small scratches and light wear on the screen. ",0,239.99,"Used","1","Verizon","White","64","iPad mini",1,10799,"Train"
"New (Open Box)",0,565.95,"New other (see details)","0","None","Space Gray","128","iPad Air",0,10800,"Train"
"",1,180,"Used","1","AT&T","Unknown","32","iPad 1",0,10801,"Train"
"",1,0.99,"Used","0","None","Unknown","16","iPad 2",1,10802,"Train"
"",0,630,"Used","1","Verizon","White","128","iPad Air 2",1,10803,"Train"
"A device listed in good condition with a few minor mark and/or scratches on the housing or display ",0,89,"Used","1","AT&T","White","16","Unknown",0,10804,"Train"
"",1,399,"New other (see details)","0","None","White","64","iPad Air 2",1,10805,"Train"
"",0,232.99,"New","Unknown","Unknown","Space Gray","Unknown","Unknown",0,10806,"Train"
"",0,167.38,"Used","Unknown","Unknown","Unknown","Unknown","Unknown",0,10807,"Train"
"",1,65,"Used","1","AT&T","Black","64","iPad 1",1,10808,"Train"
"iPad 3 gen. 64GB, white, wifi-only. Condition = good as new, very minor sign of use. No charger. ",0,299,"Used","0","None","Unknown","64","iPad 3",0,10809,"Train"
"Good Condition! Fully Functional!",1,0.99,"Seller refurbished","0","None","Black","32","iPad 1",1,10810,"Train"
"",1,160,"Used","0","None","White","32","iPad mini Retina",1,10811,"Train"
"",1,346,"New","0","None","Space Gray","32","iPad Air",1,10812,"Train"
"",1,0.01,"Used","0","None","Black","16","iPad mini",1,10813,"Train"
"6 months old.",1,50,"New other (see details)","0","None","White","16","iPad Air 2",1,10814,"Train"
"",0,299,"Used","0","None","Black","16","iPad mini Retina",0,10815,"Train"
"Fully functional. Great condition.",1,0.99,"Used","0","None","Gold","16","iPad mini 3",1,10816,"Train"
"",1,0.99,"Used","1","Verizon","Unknown","32","iPad 2",1,10817,"Train"
"",0,249.99,"New","0","None","Space Gray","16","iPad mini",0,10818,"Train"
"",0,175,"Seller refurbished","0","None","Black","16","iPad mini",0,10819,"Train"
"Refurbished by Best Buy Geek Squad Comes With Apple Manufactures Warranty Good till March 1, 2016",1,0.99,"Seller refurbished","1","Unknown","Gold","16","iPad Air 2",1,10820,"Train"
"This item is Used &amp; in heavily used cosmetic condition - 100% Fully Functional, iCloud Clear, ",0,129.99,"Used","0","None","Black","16","iPad 2",0,10821,"Train"
"",1,0.99,"Used","Unknown","Unknown","Unknown","32","iPad 1",1,10822,"Train"
"Like new, used by an adult only. Always kept I sleeve when not in use.",1,239,"Used","0","None","Space Gray","32","iPad mini 2",1,10823,"Train"
"",0,250,"New","0","None","Black","16","iPad 3",1,10824,"Train"
"",1,150,"Used","1","Verizon","Unknown","16","iPad mini",1,10825,"Train"
"",1,75,"Used","1","Verizon","Black","Unknown","iPad mini",1,10826,"Train"
"This iPad is set back to factory settings with NO ICLOUD! Ready for anyone to set up! Comes in ",1,319.99,"Used","0","None","White","16","iPad Air 2",1,10827,"Train"
"",1,249.97,"Manufacturer refurbished","1","Unknown","Black","64","iPad 2",0,10828,"Train"
"A device listed in good condition with a few minor mark and/or scratches on the housing or display ",0,188,"Used","1","AT&T","White","32","Unknown",0,10829,"Train"
"",1,300,"New","0","None","Space Gray","32","iPad Air",1,10830,"Train"
"Like-New condition. Please scroll all the way down to the bottom of the page and read the entire ",0,199.99,"Used","0","None","White","16","iPad mini",0,10831,"Train"
"No scratches on the screen. In excellent working conditon. Case has marks from storing. l",1,160.57,"Used","0","None","Unknown","16","iPad mini",1,10832,"Train"
"A device listed in near mint used cosmetic condition with light blemishes from use. Housing &amp; ",0,182,"Used","1","Verizon","White","32","iPad 2",0,10833,"Train"
"",0,300,"Used","0","None","Black","64","Unknown",1,10834,"Train"
"",1,109,"Used","0","None","Unknown","16","iPad mini",1,10835,"Train"
"",1,125,"Used","Unknown","Unknown","Unknown","32","iPad 2",0,10836,"Train"
"",0,37.98,"Used","Unknown","Unknown","Unknown","Unknown","Unknown",1,10837,"Train"
"",1,400,"New","1","Sprint","Space Gray","16","iPad Air 2",1,10838,"Train"
"",0,529.99,"New","1","Unknown","Space Gray","64","iPad mini 3",0,10839,"Train"
"",1,0.99,"Used","0","None","Unknown","16","iPad 4",1,10840,"Train"
"very good",1,79.99,"Used","0","None","White","16","iPad 1",0,10841,"Train"
"iPad 1 16G, in excellent condition, a few tiny scratches, only noticeable when screen is off. This ",0,119.99,"Used","0","None","Black","16","iPad 1",0,10842,"Train"
"Very minimal use. Kept in hard case since it was purchased. Comes in mint condition with complete ",1,100,"Used","1","T-Mobile","Unknown","128","iPad mini 2",1,10843,"Train"
"",1,0.99,"Used","0","None","Unknown","32","iPad 2",1,10844,"Train"
"",0,649.99,"New other (see details)","1","Verizon","Black","128","iPad 4",0,10845,"Train"
"",0,399.99,"New","0","None","Space Gray","16","iPad mini 3",1,10846,"Train"
"This TAB is in good condition with minor scratches on the housing or screen (does not affect ",0,299,"Used","1","Unknown","White","64","iPad 4",0,10847,"Train"
"There are minor scratches on the top back edge and very light scratchs on the back. You can&#039;t really ",1,150,"Used","0","None","Black","16","iPad mini",1,10848,"Train"
"",0,258.98,"New","0","None","White","16","iPad mini",0,10849,"Train"
"VERY CLEAN!LIKE NEW!NO DENTS !VERY MINIMAL SIGNS OF USE! ALMOST MINT.wiped and ready for activation!",0,279.99,"Used","0","None","Unknown","16","iPad 4",0,10850,"Train"
"This iPad has been converted from 3G capable to WIFI ONLY.",0,150,"Used","0","None","Black","64","iPad 2",0,10851,"Train"
"",0,350,"New","0","None","Space Gray","16","iPad mini 3",0,10852,"Train"
"",1,75,"Used","1","Unknown","Black","16","iPad 1",1,10853,"Train"
"Opened box, no cosmetic damages, includes all accessories in retail package. Please contact us with ",1,0.99,"Used","Unknown","Unknown","Unknown","Unknown","Unknown",1,10854,"Train"
"",1,0.99,"Used","1","AT&T","Unknown","16","iPad mini 2",1,10855,"Train"
"",0,249.99,"Used","1","AT&T","White","16","iPad 3",0,10856,"Train"
"",0,200,"Used","0","None","Unknown","64","iPad 1",0,10857,"Train"
"screen cracked. name engraving in the back (blacked out)",1,100,"Used","0","None","Unknown","16","iPad 4",1,10858,"Train"
"Great Condition",0,90,"Used","0","None","Unknown","32","iPad 1",1,10859,"Train"
"No known defects,some slight scratches on the back of ipad.",1,375,"Used","0","None","White","128","iPad mini 2",1,10860,"Train"
"It is Geek Squad certified. It was activated on February 4, 2015. It has the one year manufacturer ",1,0.99,"Seller refurbished","0","None","White","16","iPad Air 2",1,10861,"Train"
"",0,250,"Used","0","None","Black","16","iPad 4",0,10862,"Train"
"Very clean",1,0.99,"Used","0","None","White","64","iPad 2",1,10863,"Train"
"",1,185,"New","0","None","White","16","iPad mini 2",1,10864,"Train"
"Brand new open retail box item. All contents are new. The ipad and accessories still have plastic on ",0,579.99,"New other (see details)","0","None","White","128","iPad Air",0,10865,"Train"
"",1,0.99,"Used","0","None","Black","16","iPad 1",1,10866,"Train"
"",1,500,"Used","1","Unknown","White","128","iPad Air",0,10867,"Train"
"In great shape! Almost new!",1,107,"Used","1","Unknown","Black","32","iPad 4",1,10868,"Train"
"Perfect condition, barely used, no scratches or damage, still in the box along with the charger",1,300,"Used","0","None","Unknown","16","Unknown",1,10869,"Train"
"Note: Frame is slight dented, back cover is faded",0,159.99,"Used","0","None","Black","32","iPad mini",1,10870,"Train"
"",1,45,"Used","0","None","Unknown","32","iPad 1",1,10871,"Train"
"This item is in Excellent cosmetic condition. It will not have any scratches on the screen. It may ",0,249.99,"Used","1","AT&T","White","64","iPad mini",1,10872,"Train"
"VERY CLEAN!LIKE NEW!NO DENTS just very little air-like scratches in the bacK!wiped and ready for ",0,279.99,"Seller refurbished","0","None","Unknown","16","iPad 4",0,10873,"Train"
"VERY CLEAN!LIKE NEW!NO DENTS AT ALL-JUST NORMAL SIGNS OF REGULAR CAREFUL USE- LOOKS ALMOST ",0,276.99,"Seller refurbished","0","None","Unknown","16","iPad 4",0,10874,"Train"
"Very good condition. Screen protector on, 1 small ding, always kept in case",0,95,"Used","1","AT&T","Unknown","16","iPad 1",1,10875,"Train"
"Bought refurbished by manufacturer",1,10,"Used","0","None","Black","32","iPad 1",1,10876,"Train"
"100% Great Condition!!  Had in a case all the time and handled with care.The iPad does have a case ",0,379.99,"Used","0","None","Black","16","iPad Air",0,10877,"Train"
"",0,275,"Used","1","AT&T","Black","16","iPad mini",0,10878,"Train"
"",1,145,"Used","Unknown","Unknown","Space Gray","32","Unknown",0,10879,"Train"
"",1,275,"Used","0","None","Space Gray","64","iPad 3",1,10880,"Train"
"Good Condition! Fully Functional!",1,0.99,"Seller refurbished","0","None","Black","32","iPad 1",1,10881,"Train"
"",1,200,"Used","0","None","Black","16","iPad 3",1,10882,"Train"
"this ipad is in mint mint condition! was actuuly almost never used was just open and sealed was ",0,439,"Used","0","None","Unknown","64","iPad Air",0,10883,"Train"
"",0,379,"Used","1","AT&T","Unknown","16","iPad Air",0,10884,"Train"
"works perfectly this ipad is in good conditions, but the screen goes and come, it need to be fix or ",1,0.99,"Used","0","None","Black","32","iPad mini",1,10885,"Train"
"New in the opened package.  All is still sealed.  Few small cuts into the outer box on the outside ",0,350,"New other (see details)","1","T-Mobile","Unknown","16","iPad mini 2",0,10886,"Train"
"",0,180,"Used","0","None","White","16","iPad mini 2",1,10887,"Train"
"",0,194.85,"Seller refurbished","1","Verizon","Black","32","iPad 2",0,10888,"Train"
"Tablet is in GREAT condition! The screen is free of scratches. The case has a few light scuffs. ",0,360,"Used","0","None","Black","64","iPad Air",0,10889,"Train"
"Looks like new, with original box, very very minor scratch (can barely see it)",0,500,"Used","0","None","Black","128","iPad 4",0,10890,"Train"
"This item is in perfect working condition with no visible wear. Delivered in original manufacturer ",0,463.26,"Used","1","AT&T","White","32","iPad 3",0,10891,"Train"
"",1,0.99,"Manufacturer refurbished","1","Unknown","Black","32","iPad 1",1,10892,"Train"
"Working. Tested wifi, touch, sound, buttons, charge port. Scratched case. Light scratches on lcd. No ",0,99,"Used","1","Verizon","Black","16","iPad 2",0,10893,"Train"
"",0,795.99,"Manufacturer refurbished","1","AT&T","Space Gray","128","iPad Air",0,10894,"Train"
"NEAR MINT BEAUTIFUL DISPLAY MINIMAL SIGNS OF USE. SEE PHOTOS FOR DETAILS. INCLUDES FREE BRAND NEW ",1,259.95,"Used","0","None","White","16","iPad mini 2",0,10895,"Train"
"This is in excellent condition, only mark is on back, where a name has been etched and etch has been ",0,275,"Seller refurbished","0","None","White","64","iPad 3",1,10896,"Train"
"",1,100,"New","0","None","Black","16","Unknown",1,10897,"Train"
"",1,100,"Used","0","None","White","64","iPad mini 3",1,10898,"Train"
"",1,0.99,"Used","1","Verizon","White","16","iPad 2",1,10899,"Train"
"like brand new",1,300,"Used","0","None","Unknown","64","iPad 3",0,10900,"Train"
"",1,125,"Used","0","None","Black","64","iPad 3",1,10901,"Train"
"Great Condition - Cosmetically 8 out of 10 and includes Warranty and FREE Magnetic Smart Cover!",0,199.99,"Seller refurbished","0","None","Black","16","iPad 2",1,10902,"Train"
"",0,244.97,"New","0","None","White","16","iPad mini",0,10903,"Train"
"Item is lightly used with minimal cosmetic wear. It shows only minor signs of wear such as light ",1,249.97,"Used","1","Unknown","Unknown","32","iPad 2",0,10904,"Train"
"",1,175,"New","0","None","Unknown","16","iPad mini",1,10905,"Train"
"",0,199.99,"Used","0","None","Unknown","16","iPad mini",0,10906,"Train"
"Looks brand new! Always been kept in a case!",1,75,"Used","0","None","Unknown","64","iPad mini",1,10907,"Train"
"",1,500,"New","1","Unknown","White","128","iPad Air 2",0,10908,"Train"
"",0,660,"New","0","None","White","Unknown","iPad Air 2",0,10909,"Train"
"",0,359.99,"New","0","None","White","16","iPad mini 3",0,10910,"Train"
"This item is an open box unit. The iPad does not show any signs of use. It includes the original ",0,525,"New other (see details)","0","None","White","64","iPad Air 2",0,10911,"Train"
"Includes iPad only. Does not include USB/power cord, additional accessories or box. Shows some signs ",1,0.99,"Used","0","None","Unknown","16","iPad Air",1,10912,"Train"
"",1,0.99,"Used","0","None","Unknown","16","iPad 2",1,10913,"Train"
"Grade A condition means that the Ipad is 100% working condition. Cosmetically 8/9 out of 10 - Will ",0,209.85,"Manufacturer refurbished","1","Verizon","Black","16","iPad mini",0,10914,"Train"
"Tablet is Good Working and has been reset to factory settings.",0,299.99,"Used","0","None","Unknown","16","iPad 4",0,10915,"Train"
"",0,149.97,"Used","0","None","Unknown","16","iPad 2",0,10916,"Train"
"",1,179.99,"Used","0","None","Unknown","16","iPad 2",0,10917,"Train"
"This is a used iPad, and has a few minor scratches on the front as well as back. There are no cracks ",0,174.99,"Used","1","AT&T","Black","64","iPad 2",1,10918,"Train"
"",1,250,"New other (see details)","0","None","White","64","iPad Air 2",1,10919,"Train"
"almost new, has small scratches on the side (as pictured) works perfectlycord and charger are ",0,250,"Used","0","None","Black","16","iPad 4",1,10920,"Train"
"",0,349.99,"New","Unknown","Unknown","Gold","Unknown","Unknown",0,10921,"Train"
"",1,200,"Used","0","None","Black","16","iPad mini",0,10922,"Train"
"",1,10,"Used","Unknown","Unknown","Unknown","Unknown","Unknown",1,10923,"Train"
"Overall excellent condition, very minor signs of use.",0,449.95,"Used","1","Unknown","Gold","64","iPad mini 3",0,10924,"Train"
"iPad mini 2/ Retina Display/ Latest Model/ 64GB/ Wi-Fi/ Silver&amp;White . Near Mint Condition excellent ",0,350.25,"Used","0","None","Unknown","64","iPad mini 2",0,10925,"Train"
